40438 ,-38628 ,-3227 ,24992 ,15003 
-103496189 ,-39040649 ,2394017 ,78212419 ,29524286 
197285 ,-117749 ,-141924 ,-46240 ,136282 
-6649 ,-61624 ,-48959 ,2795 ,33816 
5032150 ,-818132 ,-930933 ,-1347119 ,1862293 
1268062 ,-1588420 ,-884500 ,-159174 ,925198 
140417 ,-908857 ,-428891 ,92673 ,539299 
401008 ,-377682 ,-105226 ,179729 ,192748 
5034 ,-67030 ,62788 ,-14132 ,29788 
667414 ,-4403998 ,-1716817 ,780888 ,2536734 
-2819959 ,-2427760 ,-293916 ,1270504 ,2638196 
17418382 ,-4521042 ,707963 ,-2789379 ,2856849 
-1496221 ,-515866 ,123657 ,-98295 ,896280 
-1374 ,-7141 ,-1810 ,1755 ,4441 
13682 ,-18348 ,-102 ,19274 ,2570 
698249 ,-799846 ,30242 ,230404 ,348226 
1367 ,412 ,-15221 ,-2356 ,9881 
-71 ,1305 ,-1589 ,-710 ,1017 
-8580 ,-16550 ,1499 ,8526 ,6951 
-24565 ,30753 ,9304 ,-32313 ,46421 
919253 ,294169 ,439459 ,-2005675 ,5733872 
-427800 ,1079078 ,-104085 ,167505 ,1568864 
208264 ,-474058 ,200946 ,-356697 ,597539 
-1679513 ,32018 ,-210770 ,-808379 ,1060441 
-6176 ,2846 ,-2162 ,-1663 ,5140 
-334640 ,-63109 ,-9869 ,-23940 ,128268 
-14676 ,-15679 ,8761 ,-23108 ,23226 
-10188 ,-233 ,-6895 ,-8701 ,9705 
-665 ,313 ,-2145 ,-610 ,1060 
-1053 ,2980 ,-494 ,-2860 ,1463 
69568 ,-432065 ,-313322 ,139183 ,220349 
-61557449 ,11179301 ,1928495 ,-7700796 ,38619247 
3007 ,-6393 ,164 ,857 ,6221 
-2310 ,2225 ,-1762 ,-39 ,2170 
3078038 ,-1143959 ,1423698 ,918217 ,3334750 
1020442 ,-434185 ,452917 ,469512 ,1309912 
-85310 ,-288811 ,339 ,323691 ,911736 
-18264 ,137370 ,-5854 ,-13235 ,67082 
8577 ,89502 ,98844 ,-253 ,51843 
532777 ,2667367 ,-10994 ,52569 ,1437343 
-363673 ,-366979 ,90879 ,-78176 ,525654 
0 ,0 ,0 ,0 ,0 
-65 ,2981 ,159 ,-2038 ,691 
0 ,0 ,0 ,0 ,0 
0 ,0 ,0 ,0 ,0 
100263 ,-181944 ,70518 ,-65414 ,169667 
20992 ,19212 ,-38290 ,-64787 ,43843 
15564 ,-15178 ,-52269 ,-20354 ,42208 
-1466 ,274 ,3315 ,-482 ,4641 
-63063 ,-75315 ,34937 ,57496 ,59047 
1060509 ,-270784 ,-84806 ,-1606806 ,1051767 
-148823 ,-81276 ,-94385 ,-44042 ,484553 
-255093 ,-132940 ,17288 ,-146015 ,277067 
-1742102 ,304762 ,-74429 ,-523543 ,1248313 
-36358 ,7559 ,-9426 ,-23119 ,30158 
-33248 ,-15848 ,179 ,-1952 ,27776 
-39386 ,-46134 ,16760 ,4848 ,40761 
765 ,-2844 ,-4957 ,-10160 ,13288 
7124 ,5871 ,-9084 ,-3868 ,7140 
-1528 ,890 ,-26 ,-1107 ,1951 
8881 ,-3953 ,-7332 ,-926 ,5467 
-3229348 ,-16981016 ,-1998745 ,516801 ,14711587 
164435 ,-404231 ,-223280 ,-46207 ,570934 
-141262 ,-88716 ,-37971 ,570 ,97825 
7564188 ,-6438497 ,-165696 ,712678 ,5484129 
315557 ,-1108134 ,474226 ,458697 ,500790 
35245 ,-584427 ,-315956 ,-18221 ,380220 
257838 ,-87333 ,-39353 ,4523 ,287132 
7074 ,-33213 ,228759 ,9814 ,93565 
-123856 ,-592673 ,-425464 ,-47505 ,1413825 
-2377162 ,-438758 ,662368 ,149053 ,2072389 
3912071 ,-1151583 ,548855 ,-3115073 ,945091 
-51812 ,-18499 ,12613 ,88974 ,16088 
13946 ,-2150 ,2220 ,5214 ,5012 
-63156 ,-32723 ,8272 ,30711 ,32419 
481263 ,-922366 ,303512 ,-151146 ,522376 
204420 ,-138579 ,197602 ,56313 ,320053 
-4053 ,-165263 ,100582 ,13488 ,123365 
-85317 ,-87382 ,44041 ,25668 ,55294 
250254 ,-516274 ,419617 ,-381084 ,521365 
-1361048 ,-790555 ,1477604 ,455055 ,834861 
-52350 ,-2727675 ,474188 ,1384982 ,1622442 
-1169247 ,-2489688 ,455163 ,-513989 ,2329895 
6119987 ,-1632261 ,2081514 ,23864 ,4613639 
12983 ,-84293 ,14688 ,-22276 ,86626 
-103068 ,-103818 ,101492 ,-15065 ,183687 
-278768 ,-308920 ,338760 ,78253 ,122049 
-57477 ,-113354 ,-1336 ,17386 ,63501 
31107 ,-25861 ,-21975 ,9348 ,28792 
-2451 ,-20361 ,3070 ,15456 ,7880 
24844 ,-27259 ,1626 ,-1138 ,15028 
-65297926 ,5109085 ,15241980 ,-33292594 ,55362537 
490455 ,-316908 ,114062 ,-173408 ,301115 
-5505 ,-9296 ,3501 ,-88 ,15417 
8532716 ,-4609328 ,3075708 ,1238869 ,4894559 
98983 ,-213874 ,203100 ,32412 ,225183 
28352 ,-104468 ,13584 ,22835 ,119932 
57270 ,34347 ,11165 ,5399 ,32837 
1262 ,15544 ,36219 ,-733 ,14913 
11685 ,227932 ,203239 ,25402 ,246170 
-2652482 ,-1656640 ,621146 ,-453769 ,2269036 
461297 ,-219485 ,-73272 ,-138511 ,58859 
0 ,0 ,0 ,0 ,0 
3525 ,237 ,309 ,-4602 ,1617 
-26618 ,5497 ,1908 ,-2996 ,15385 
123830 ,-432781 ,-38735 ,-159559 ,363527 
285317 ,-436195 ,212633 ,161438 ,383650 
57068 ,-235095 ,137856 ,-15488 ,172850 
-19866 ,-18444 ,-4752 ,-4967 ,26468 
212053 ,-662341 ,30512 ,101821 ,350917 
-1677351 ,-325811 ,586092 ,-499033 ,1248479 
910132 ,-1680276 ,129978 ,252644 ,1154165 
413563 ,-1856376 ,787499 ,-491679 ,2102168 
-2573160 ,186881 ,105913 ,1140476 ,805191 
-131665 ,-65886 ,7127 ,62502 ,69226 
65056 ,-118442 ,3920 ,-39865 ,88054 
89287 ,-199914 ,34783 ,-44185 ,130503 
18220 ,-104558 ,2619 ,-17576 ,64739 
14491 ,-15741 ,-6140 ,-4935 ,30486 
10516 ,-13268 ,1629 ,-3416 ,8631 
4544 ,-137 ,-7779 ,-8669 ,38417 
-23581010 ,-32958616 ,-9076528 ,-5729460 ,43959956 
2362 ,-13013 ,4167 ,-814 ,8680 
-48759 ,-11697 ,-64629 ,86 ,42341 
5853443 ,-2943072 ,-761980 ,409404 ,3753081 
271884 ,-53972 ,4124 ,23619 ,331795 
-36758 ,-49533 ,87000 ,7913 ,308401 
2490 ,-18928 ,8132 ,-698 ,70851 
15067 ,-5185 ,34431 ,1702 ,16058 
502424 ,-250635 ,-206742 ,30622 ,631050 
-1122839 ,-424319 ,-328010 ,-92040 ,1183520 
7814674 ,-2331293 ,-474999 ,-3248022 ,3405852 
0 ,0 ,0 ,0 ,0 
32893 ,-22796 ,2075 ,23729 ,10447 
-1082 ,-36411 ,19386 ,-6382 ,27140 
824829 ,-880959 ,218102 ,2347 ,533290 
47351 ,-28047 ,24041 ,-8628 ,30984 
5820 ,-35831 ,19179 ,1870 ,14049 
-8145 ,-26816 ,2036 ,8867 ,14651 
5171 ,-355045 ,51841 ,98103 ,187741 
-335307 ,-229836 ,8806 ,8160 ,205139 
1174784 ,-2859144 ,150291 ,1058731 ,756829 
-2027488 ,-4751419 ,3418013 ,2094458 ,2425487 
-1514200 ,-3163229 ,186521 ,4354355 ,2435767 
-16403 ,-20173 ,-1494 ,13939 ,12992 
-93204 ,-128065 ,-2818 ,78506 ,61657 
-32896 ,-23916 ,10836 ,4423 ,25924 
-9792 ,-28848 ,-1692 ,15683 ,15722 
2586 ,-17053 ,346 ,5509 ,5720 
-731 ,-1093 ,244 ,447 ,775 
9911 ,-8585 ,-2205 ,3357 ,5493 
-26584345 ,-37133492 ,-3255657 ,43714904 ,33965924 
30958 ,1675 ,-17409 ,-3934 ,38234 
-2529 ,-19892 ,-6182 ,3409 ,17850 
3159537 ,760271 ,-171521 ,-402962 ,2237989 
-113540 ,-130322 ,127331 ,-76073 ,219122 
132054 ,-107302 ,-62415 ,-36372 ,175598 
28349 ,46902 ,983 ,-8730 ,28615 
803 ,14633 ,16648 ,188 ,9535 
140677 ,546393 ,-110614 ,31616 ,352408 
-2959771 ,-2326065 ,-107616 ,382525 ,1816951 
4319 ,-17997 ,-21224 ,-73101 ,87744 
0 ,0 ,0 ,0 ,0 
69356 ,-74793 ,7144 ,-36358 ,25273 
12155 ,-28959 ,6295 ,-9324 ,16230 
674756 ,-1325410 ,106763 ,58658 ,664407 
48257 ,-238475 ,114079 ,459286 ,229729 
42825 ,-299907 ,133794 ,139873 ,170476 
39664 ,-55902 ,7726 ,15009 ,23892 
185791 ,-593718 ,14036 ,421244 ,275046 
62743 ,284797 ,6671 ,190332 ,221237 
-254480 ,-577836 ,24203 ,43922 ,298320 
-2314209 ,-1023659 ,1460745 ,729688 ,1635998 
-350200 ,-809166 ,299610 ,-45395 ,881330 
2921 ,-26629 ,2215 ,7678 ,21124 
50052 ,-33174 ,2500 ,6744 ,20376 
6057 ,-83822 ,49686 ,5891 ,43527 
